#,Name,Difficult,Priority,Status,Tags,link,source,practicedTimes
33,Search in Rotated Sorted Array,Medium,Low,,BS_Idx,https://leetcode.com/problems/search-in-rotated-sorted-array/,"HuaHua, LC_Top_Interview_150, jiuzhang, leetcode_daily, 算初BS",1
39,Combination Sum,Medium,Low,,"BackTracking, Combination, search",https://leetcode.com/problems/combination-sum/,"LC_Top_Interview_150, jiuzhang, 算初DFS",1
46,Permutations,Medium,Low,,"BackTracking, Permutation",https://leetcode.com/problems/permutations/,"LC_Top_Interview_150, jiuzhang, 算初DFS",1
53,Maximum Subarray,Medium,Low,,"Array, Contribution>0, DP, Kadane, Prefix",https://leetcode.com/problems/maximum-subarray/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算初LinkedList&Array, 算高FollowUp",1
56,Merge Intervals,Medium,Pass,,"Array, Geometry, Interval, Sort",https://leetcode.com/problems/merge-intervals/,"AmazonFreq, HuaHua, LC_Top_Interview_150, googleFreq, ticktokFreq",1
57,Insert Interval,Medium,High,"Dig More, toSummarize","Array, BS_lower_upper_bound, Geometry, Interval",https://leetcode.com/problems/insert-interval/,"HuaHua, LC_Top_Interview_150, googleFreq",
452,Minimum Number of Arrows to Burst Balloons,Medium,High,No Idea At First,"Array, Geometry, Greedy, Interval, Sort",https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,"HuaHua, LC_75, LC_Top_Interview_150",
228,Summary Ranges,Easy,High,,"2pt, Array, Interval",https://leetcode.com/problems/summary-ranges/,LC_Top_Interview_150,
61,Rotate List,Medium,Low,,LinkedList,https://leetcode.com/problems/rotate-list/description/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初LinkedList&Array",1
64,Minimum Path Sum,Medium,Pass,,"DP, GoForth, Matrix",https://leetcode.com/problems/minimum-path-sum/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上",1
68,Text Justification,Hard,Medium,checkBetterSolution,string,https://leetcode.com/problems/text-justification/,LC_Top_Interview_150,
69,Sqrt(x),Easy,Low,,"BS_Idx, Math",https://leetcode.com/problems/sqrtx/,"LC_Top_Interview_150, jiuzhang, 算高BS&SwipeLine",1
70,Climbing Stairs,Easy,Pass,,"Array, DP, GoForth",https://leetcode.com/problems/climbing-stairs,"HuaHua, LC_Top_Interview_150, jiuzhang, 算初DP, 算高DP上",1
